full_name;id_client;email;city;state
Femininos Oliveira Antunes;1;femininos.oliveira.antunes@icloud.com;ARATU;BA
Fernanda Azevedo Soares Nunes Vieira;2;nunes.fernanda.soares.azevedo.vieira@outlook.com;RECIFE;PE
Daniel Farias Ribeiro Teixeira;3;farias.teixeira.daniel.ribeiro@gmail.com;RIO GRANDE;RS
Thiago Moreira;4;thiago.moreira@gmail.com;RIO BRANCO;AC
Pedro Freitas;5;pedro.freitas@icloud.com;SANTARÉM NOVO;PA
Antônia Coelho Pinheiro Peixoto Cavalcanti;6;coelho.pinheiro.peixoto.antônia.cavalcanti@aol.com;FORTALEZA DO TABOCÃO;TO
Bianca Barros Rocha Torres Siqueira;7;torres.barros.rocha.bianca.siqueira@aol.com;CABEDELO;PB
Luiz Alves Pimentel;8;pimentel.alves.luiz@outlook.com;ARACAJU;SE
Lucas Guedes Cunha Lopes;9;lucas.lopes.guedes.cunha@tutanota.com;JOÃO PESSOA;PB
Débora Paiva;10;paiva.débora@gmx.com;SANTARÉM;PA
Victor Torres Monteiro;11;torres.monteiro.victor@gmail.com;PORTO SEGURO;BA
Rafael Pereira Barros;12;rafael.pereira.barros@zoho.com;FORTALEZA DO TABOCÃO;TO
Carlos Guimarães Martins;13;martins.guimarães.carlos@hotmail.com;SANTARÉM;PA
Gabriela Silva Vieira Amaral;14;vieira.silva.amaral.gabriela@icloud.com;ITACOATIARA;AM
Carla Lopes Alves Pacheco Rocha;15;lopes.alves.pacheco.rocha.carla@yahoo.com;FORTALEZA DO TABOCÃO;TO
Renata Pacheco Cardoso;16;renata.pacheco.cardoso@zoho.com;FORTALEZA;CE
Luís Paiva Costa Cardoso Coelho;17;costa.paiva.luís.coelho.cardoso@aol.com;CORUMBÁ;MS
Adriana Guedes Borges Alves Rocha;18;rocha.adriana.guedes.borges.alves@protonmail.com;SANTARÉM;PA
Renata Lima Gomes Coelho Mendonça;19;renata.lima.mendonça.coelho.gomes@icloud.com;MACEIÓ;AL
Bruno Silva;20;silva.bruno@zoho.com;SANTARÉM NOVO;PA
Sandra Rocha Oliveira Soares Peixoto;21;peixoto.soares.rocha.oliveira.sandra@yahoo.com;RIO BRANCO;AC
Daniela Borges Vieira Farias Mendonça;22;borges.vieira.daniela.mendonça.farias@protonmail.com;ARACAJU;SE
Bruna Mendonça Rodrigues;23;rodrigues.mendonça.bruna@aol.com;SANTOS;SP
Carla Peixoto Azevedo Silva Araújo;24;peixoto.carla.araújo.silva.azevedo@outlook.com;LAGUNA;SC
Femininos Antunes Lopes Ribeiro Amaral;25;femininos.antunes.amaral.lopes.ribeiro@icloud.com;SÃO MATEUS;ES
Luiz Borges Gomes Araújo;26;gomes.araújo.borges.luiz@hotmail.com;MANAUS;AM
Flávia Nunes Martins Ribeiro Coelho;27;nunes.flávia.coelho.martins.ribeiro@protonmail.com;SALVADOR;BA
Bianca Rodrigues;28;rodrigues.bianca@icloud.com;ANTONINA;PR
Gabriela Moraes Macedo Nunes;29;moraes.nunes.gabriela.macedo@icloud.com;FORTALEZA;CE
Victor Araújo Azevedo Tavares Correia;30;araújo.tavares.azevedo.victor.correia@gmail.com;ITACOATIARA;AM
Jéssica Figueiredo Leite Martins;31;jéssica.martins.leite.figueiredo@tutanota.com;SÃO LUÍS;MA
Daniela Teixeira Antunes Coelho Batista;32;antunes.coelho.batista.teixeira.daniela@hotmail.com;PORTO SEGURO;BA
Diego Costa Guedes Cunha;33;guedes.cunha.costa.diego@outlook.com;RIO GRANDE;RS
Victor Vieira Nunes Cunha;34;nunes.cunha.victor.vieira@protonmail.com;FORTALEZA;CE
Priscila Martins;35;martins.priscila@tutanota.com;JOÃO PESSOA;PB
Francisca Ribeiro Pinheiro;36;ribeiro.francisca.pinheiro@aol.com;BELÉM;PA
Jéssica Pimentel Borges Nunes Teixeira;37;nunes.borges.teixeira.pimentel.jéssica@yahoo.com;ITAQUI;MA
Mateus Antunes;38;mateus.antunes@gmail.com;FORTALEZA DO TABOCÃO;TO
Renata Oliveira Siqueira;39;oliveira.renata.siqueira@aol.com;SUAPE;PE
Lucas Pacheco;40;pacheco.lucas@aol.com;CORUMBÁ;MS
Pedro Ribeiro Costa Santos Correia;41;costa.correia.ribeiro.santos.pedro@yahoo.com;ARATU;BA
Márcia Figueiredo;42;márcia.figueiredo@protonmail.com;VILA DO CONDE;PA
Jéssica Farias Cunha;43;farias.jéssica.cunha@outlook.com;ITAQUI;MA
Rafael Paiva Vieira;44;rafael.vieira.paiva@icloud.com;PARANAGUÁ;PR
Amanda Santos Figueiredo Rodrigues Siqueira;45;figueiredo.siqueira.rodrigues.amanda.santos@tutanota.com;SANTARÉM;PA
Ana Silva Costa Farias Coelho;46;costa.farias.coelho.ana.silva@hotmail.com;MACAPÁ;AP
Gabriela Barros Lacerda;47;lacerda.gabriela.barros@tutanota.com;NITERÓI;RJ
Letícia Torres Peixoto Oliveira;48;torres.oliveira.peixoto.letícia@yahoo.com;SUAPE;PE
Diego Costa Tavares Antunes;49;costa.tavares.antunes.diego@icloud.com;ARACAJU;SE
